nombre,genero,tipo,padre,activa,hoyos,par_decl,par_suma,flags,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,revision_juanjo
C.G. Valle Escondido - Valle Escondido (VARONES),V,18h,,SI,18,70,70,,4,5,4,3,4,4,4,3,4,4,5,4,3,4,4,4,3,4,
C.G.P. El Principal - El Principal (DAMAS),D,18h,,SI,18,72,72,,5,4,3,4,4,4,3,4,5,5,4,3,4,4,4,3,4,5,
C.G.P. El Principal - El Principal (VARONES),V,18h,,SI,18,72,72,,5,4,3,4,4,4,3,4,5,5,4,3,4,4,4,3,4,5,
C.N.C. Las Salinas - Las Salinas (DAMAS),D,18h,,SI,18,72,72,,4,3,5,4,4,5,3,4,4,4,3,5,4,4,5,3,4,4,
C.N.C. Las Salinas - Las Salinas (VARONES),V,18h,,SI,18,72,72,,4,3,5,4,4,5,3,4,4,4,3,5,4,4,5,3,4,4,
C.N.C. Tumbes - Tumbes (DAMAS),D,18h,,SI,18,70,70,,4,5,3,3,3,4,4,4,5,4,5,3,3,3,4,4,4,5,
C.N.C. Tumbes - Tumbes (VARONES),V,18h,,SI,18,70,70,,4,5,3,3,3,4,4,4,5,4,5,3,3,3,4,4,4,5,
Cancha Internacional (DAMAS),D,18h,,SI,18,70,70,,3,4,3,4,3,5,4,5,4,3,4,3,4,3,5,4,5,4,
Cancha Internacional (VARONES),V,18h,,SI,18,70,70,,3,4,3,4,3,5,4,5,4,3,4,3,4,3,5,4,5,4,
Club de Campo Bellavista,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Campo Coya,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Campo La Posada,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf Aconcagua,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf Angostura,X,18h,,SI,18,71,71,,4,3,5,4,4,5,3,4,4,4,3,5,4,4,3,4,4,4,
Club de Golf Brisas de Santo Domingo,X,27h,SI,SI,0,72,,,,,,,,,,,,,,,,,,,,,
Club de Golf Brisas de Santo Domingo - Este,X,9h,,SI,9,36,36,,5,3,4,4,5,4,3,4,4,,,,,,,,,,
Club de Golf Brisas de Santo Domingo - Norte,X,9h,,SI,9,36,36,,4,4,4,3,5,4,3,5,4,,,,,,,,,,
Club de Golf Brisas de Santo Domingo - Sur,X,9h,,SI,9,36,36,,4,4,4,3,5,4,3,5,4,,,,,,,,,,
Club de Golf Cachagua,X,18h,,SI,18,72,72,,4,3,4,4,5,4,3,4,5,4,5,4,5,3,4,4,3,4,
Club de Golf Chapultepec,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf Costa Cachagua,X,18h,,SI,18,73,73,,4,4,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf Granadilla,X,18h,,SI,18,71,71,,4,4,4,4,4,4,3,4,4,4,3,5,4,3,3,4,5,5,
Club de Golf La Dehesa,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf La Serena,X,18h,,SI,18,70,70,,4,4,4,3,4,3,3,5,4,4,4,5,3,4,3,4,5,4,
Club de Golf Las Araucarias,X,18h,,SI,18,71,71,,4,3,5,4,4,4,4,3,4,4,3,5,5,4,3,4,4,4,
Club de Golf Las Brisas de Chicureo,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf Lomas de La Dehesa,X,18h,,SI,18,72,72,,4,4,3,4,4,3,4,5,5,4,5,4,5,4,3,4,3,4,
Club de Golf Los Leones,X,18h,,SI,18,72,72,,4,4,3,5,4,3,4,4,5,4,3,4,4,3,4,4,5,5,
Club de Golf Los Lirios,X,18h,,SI,18,73,73,,4,5,3,4,4,3,4,5,4,4,3,5,4,4,4,4,5,4,
Club de Golf Mapocho,X,18h,,SI,18,72,72,,5,5,3,4,4,3,5,3,4,4,4,5,3,4,4,4,3,5,
Club de Golf Marbella,X,27h,SI,SI,0,72,,,,,,,,,,,,,,,,,,,,,
Club de Golf Marbella - Andes Pro,X,9h,,SI,9,36,36,,4,4,3,5,4,3,5,4,4,,,,,,,,,,
Club de Golf Marbella - Pacifico Norte,X,9h,,SI,9,36,36,,4,5,4,4,3,4,3,4,5,,,,,,,,,,
Club de Golf Marbella - Pacifico Sur,X,9h,,SI,9,36,36,,3,4,4,3,4,5,4,5,4,,,,,,,,,,
Club de Golf Mexico,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf Papudo,X,18h,,SI,18,68,68,,4,3,4,4,3,3,4,4,4,4,5,3,4,3,4,4,4,4,
Club de Golf Prince of Wales,X,18h,,SI,18,72,72,,4,4,5,3,4,4,3,4,5,4,3,4,4,5,3,4,4,5,
Club de Golf Rocas de Santo Domingo,X,27h,SI,SI,0,72,,,,,,,,,,,,,,,,,,,,,
Club de Golf Rocas de Santo Domingo - Azul,X,9h,,SI,9,36,36,,4,5,4,3,4,5,4,3,4,,,,,,,,,,
Club de Golf Rocas de Santo Domingo - Blanca,X,9h,,SI,9,36,36,,4,4,3,5,4,4,4,3,5,,,,,,,,,,
Club de Golf Rocas de Santo Domingo - Roja,X,9h,,SI,9,36,36,,4,4,5,4,4,3,5,3,4,,,,,,,,,,
Club de Golf Santa Augusta de Quintay,X,18h,,SI,18,69,69,,4,4,3,5,4,3,4,4,3,4,3,4,5,3,3,4,4,5,
Club de Golf Sport Francés,X,18h,,SI,18,72,72,,4,4,4,3,4,4,3,5,5,4,3,4,5,4,4,3,4,5,
Club de Golf Valle Escondido,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club de Golf y Polo El Principal,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club De Polo y Equitacion S.C. - Club de Polo (DAMAS),D,18h,,SI,18,72,72,,4,5,3,4,4,3,5,4,4,4,4,5,3,4,4,3,5,4,
Club De Polo y Equitacion S.C. - Club de Polo (VARONES),V,18h,,SI,18,72,72,,4,5,3,4,4,3,5,4,4,4,4,5,3,4,4,3,5,4,
Club El Rancho,X,18h,,SI,18,71,71,,4,3,5,4,4,3,4,5,4,4,3,5,4,3,3,4,5,4,
Club Naval de Campo Las Salinas,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Club Naval de Campo Tumbes,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
Country Club de Bogotá,X,18h,,SI,18,72,72,,4,5,5,4,3,4,3,5,4,4,3,4,4,4,3,4,5,4,
GEBA Golf Club,X,18h,,SI,18,72,72,,4,3,5,4,4,3,4,5,4,4,3,5,4,4,3,4,5,4,
